Country,Region,Population,Area,Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP($/capita),Birthrate,Deathrate,Agriculture,Industry,Service
Nigeria,SUB-SAHARAN AFRICA,131859731,923768,"0,09","0,26","98,8",900,40.43,16.94,0.269,0.487,0.244
N. Mariana Islands,OCEANIA,82459,477,"310,69","9,61","7,11",12500,19.43,2.29,,,
Norway,WESTERN EUROPE,4610820,323802,"7,77","1,74","3,7",37800,11.46,9.4,0.021,0.415,0.564
Oman,NEAR EAST,3102229,212460,"0,98","0,28","19,51",13100,36.24,3.81,0.027,0.39,0.583
Pakistan,ASIA (EX. NEAR EAST),165803560,803940,"0,13","-2,77","72,44",2100,29.74,8.23,0.216,0.251,0.533
Palau,OCEANIA,20579,458,"331,66","2,85","14,84",9000,18.03,6.8,0.062,0.12,0.818
Panama,LATIN AMER. & CARIB,3191319,78200,"3,18","-0,91","20,47",6300,21.74,5.36,0.068,0.156,0.776
Papua New Guinea,OCEANIA,5670544,462840,"1,11",0,"51,45",2200,29.36,7.25,0.353,0.381,0.266
Paraguay,LATIN AMER. & CARIB,6506464,406750,"0,00","-0,08","25,63",4700,29.1,4.49,0.224,0.207,0.569
Peru,LATIN AMER. & CARIB,28302603,1285220,"0,19","-1,05","31,94",5100,20.48,6.23,0.08,0.27,0.65
Philippines,ASIA (EX. NEAR EAST),89468677,300000,"12,10","-1,5","23,51",4600,24.89,5.41,0.144,0.326,0.53
Poland,EASTERN EUROPE,38536869,312685,"0,16","-0,49","8,51",11100,9.85,9.89,0.05,0.311,0.64
Portugal,WESTERN EUROPE,10605870,92391,"1,94","3,57","5,05",18000,10.72,10.5,0.053,0.274,0.673
Puerto Rico,LATIN AMER. & CARIB,3927188,13790,"3,63","-1,46","8,24",16800,12.77,7.65,0.01,0.45,0.54
Qatar,NEAR EAST,885359,11437,"4,92","16,29","18,61",21500,15.56,4.72,0.002,0.801,0.197
Reunion,SUB-SAHARAN AFRICA,787584,2517,"8,22",0,"7,78",5800,18.9,5.49,0.08,0.19,0.73
Romania,EASTERN EUROPE,22303552,237500,"0,09","-0,13","26,43",7000,10.7,11.77,0.101,0.35,0.549
Russia,C.W. OF IND. STATES,142893540,17075200,"0,22","1,02","15,39",8900,9.95,14.65,0.054,0.371,0.575
Rwanda,SUB-SAHARAN AFRICA,8648248,26338,"0,00",0,"91,23",1300,40.37,16.09,0.401,0.229,0.37
Saint Helena,SUB-SAHARAN AFRICA,7502,413,"14,53",0,19,2500,12.13,6.53,,,
Saint Kitts & Nevis,LATIN AMER. & CARIB,39129,261,"51,72","-7,11","14,49",8800,18.02,8.33,0.035,0.258,0.707
Saint Lucia,LATIN AMER. & CARIB,168458,616,"25,65","-2,67","13,53",5400,19.68,5.08,0.07,0.2,0.73
St Pierre & Miquelon,NORTHERN AMERICA,7026,242,"49,59","-4,86","7,54",6900,13.52,6.83,,,
Saint Vincent and the Grenadines,LATIN AMER. & CARIB,117848,389,"21,59","-7,64","14,78",2900,16.18,5.98,0.1,0.26,0.64
Samoa,OCEANIA,176908,2944,"13,69","-11,7","27,71",5600,16.43,6.62,0.114,0.584,0.302
San Marino,WESTERN EUROPE,29251,61,"0,00","10,98","5,73",34600,10.02,8.17,,,
Sao Tome & Principe,SUB-SAHARAN AFRICA,193413,1001,"20,88","-2,72","43,11",1200,40.25,6.47,0.167,0.148,0.684
Saudi Arabia,NEAR EAST,27019731,1960582,"0,13","-2,71","13,24",11800,29.34,2.58,0.033,0.613,0.354
Senegal,SUB-SAHARAN AFRICA,11987121,196190,"0,27","0,2","55,51",1600,32.78,9.42,0.172,0.209,0.619
Serbia,EASTERN EUROPE,9396411,88361,"0,00","-1,33","12,89",2200,,,0.166,0.255,0.579
Seychelles,SUB-SAHARAN AFRICA,81541,455,"107,91","-5,69","15,53",7800,16.03,6.29,0.032,0.304,0.665
Sierra Leone,SUB-SAHARAN AFRICA,6005250,71740,"0,56",0,"143,64",500,45.76,23.03,0.49,0.31,0.21
